year,agegrp,sex,dimd,population_size,clbr,population_size_calibrated
2013,30-34,women,6,183733,1850268,185429.454012067
2013,30-34,women,7,168366,1850268,169920.56655144
2013,30-34,women,8,162532,1850268,164032.699729985
2013,30-34,women,9,150541,1850268,151930.983745058
2013,30-34,women,10 least deprived,129729,1850268,130926.821199956
2013,35-39,women,1 most deprived,167772,1687739,169466.1826882
2013,35-39,women,2,181224,1687739,183054.022670567
2013,35-39,women,3,180028,1687739,181845.945312634
2013,35-39,women,4,176020,1687739,177797.472026184
2013,35-39,women,5,167990,1687739,169686.384079529
2013,35-39,women,6,167855,1687739,169550.020832605
2013,35-39,women,7,163273,1687739,164921.751222197
2013,35-39,women,8,163332,1687739,164981.347011594
2013,35-39,women,9,162226,1687739,163864.178484943
2013,35-39,women,10 least deprived,158019,1687739,159614.695671546
2013,40-44,women,1 most deprived,178115,1912301,179291.659320369
2013,40-44,women,2,187882,1912301,189123.181856831
2013,40-44,women,3,187488,1912301,188726.579022863
2013,40-44,women,4,187422,1912301,188660.143015143
2013,40-44,women,5,187872,1912301,189113.115795055
2013,40-44,women,6,192448,1912301,193719.34566368
2013,40-44,women,7,192731,1912301,194004.215211936
2013,40-44,women,8,195799,1912301,197092.482964763
2013,40-44,women,9,200319,1912301,201642.342887443
2013,40-44,women,10 least deprived,202225,1912301,203560.934261918
2013,45-49,women,1 most deprived,174706,1986075,175338.911481188
2013,45-49,women,2,186006,1986075,186679.848253465
2013,45-49,women,3,187305,1986075,187983.554170915
2013,45-49,women,4,190487,1986075,191177.08167617
2013,45-49,women,5,196266,1986075,196977.017393603
2013,45-49,women,6,203660,1986075,204397.80380902
2013,45-49,women,7,206234,1986075,206981.128698564
2013,45-49,women,8,208968,1986075,209725.033223821
2013,45-49,women,9,212986,1986075,213757.58932568
2013,45-49,women,10 least deprived,219457,1986075,220252.031967574
2013,50-54,women,1 most deprived,156935,1824684,157304.65668028
2013,50-54,women,2,164748,1824684,165136.060016967
2013,50-54,women,3,168454,1824684,168850.789412304
2013,50-54,women,4,175267,1824684,175679.837272646
2013,50-54,women,5,182752,1824684,183182.468013092
2013,50-54,women,6,189168,1824684,189613.580749324
2013,50-54,women,7,192529,1824684,192982.497505321
2013,50-54,women,8,194158,1824684,194615.334576288
2013,50-54,women,9,197963,1824684,198429.297163783
2013,50-54,women,10 least deprived,202710,1824684,203187.478609995
2013,55-59,women,1 most deprived,131004,1574641,130965.23061447
2013,55-59,women,2,135296,1574641,135255.960437966
2013,55-59,women,3,142239,1574641,142196.905723273
2013,55-59,women,4,151507,1574641,151462.162946983
2013,55-59,women,5,160477,1574641,160429.508360953
2013,55-59,women,6,167077,1574641,167027.555153841
2013,55-59,women,7,170618,1574641,170567.507228632
2013,55-59,women,8,170191,1574641,170140.633595213
2013,55-59,women,9,172621,1574641,172569.914459867
2013,55-59,women,10 least deprived,173611,1574641,173559.621478801
2013,60-64,women,1 most deprived,114477,1499767,114232.13382012
2013,60-64,women,2,119038,1499767,118783.377846025
2013,60-64,women,3,128510,1499767,128235.117248213
2013,60-64,women,4,142101,1499767,141797.04611383
2013,60-64,women,5,154908,1499767,154576.651954604
2013,60-64,women,6,162541,1499767,162193.324975813
2013,60-64,women,7,168320,1499767,167959.963701028
2013,60-64,women,8,168262,1499767,167902.087762966
2013,60-64,women,9,170319,1499767,169954.687842178
2013,60-64,women,10 least deprived,171291,1499767,170924.608735224
2013,65-69,women,1 most deprived,102322,1498119,102150.566208692
2013,65-69,women,2,109353,1498119,109169.786229932
2013,65-69,women,3,121338,1498119,121134.706149512
2013,65-69,women,4,138646,1498119,138413.707732163
2013,65-69,women,5,154603,1498119,154343.972826591
2013,65-69,women,6,166404,1498119,166125.201026087
2013,65-69,women,7,172811,1498119,172521.466518347
2013,65-69,women,8,174931,1498119,174637.914597572
2013,65-69,women,9,179051,1498119,178751.011808141
2013,65-69,women,10 least deprived,178660,1498119,178360.666902963
2013,70-74,women,1 most deprived,82603,1106851,82455.011021357
2013,70-74,women,2,86320,1106851,86165.3517591799
2013,70-74,women,3,92829,1106851,92662.6904362015
2013,70-74,women,4,103884,1106851,103697.884640299
2013,70-74,women,5,114114,1106851,113909.556888868
2013,70-74,women,6,120996,1106851,120779.227310632
