year,age,sex,pops
9,30,women,351269
9,31,men,333319
9,31,women,329365
9,32,men,328554
9,32,women,324125
9,33,men,333227
9,33,women,332797
9,34,men,339405
9,34,women,340859
9,35,men,344169
9,35,women,347934
9,36,men,359399
9,36,women,363234
9,37,men,374521
9,37,women,379631
9,38,men,385792
9,38,women,392587
9,39,men,379878
9,39,women,383121
9,40,men,388421
9,40,women,393425
9,41,men,389342
9,41,women,392582
9,42,men,396578
9,42,women,398063
9,43,men,393408
9,43,women,400332
9,44,men,393361
9,44,women,402504
9,45,men,389513
9,45,women,398107
9,46,men,381746
9,46,women,390445
9,47,men,373773
9,47,women,380784
9,48,men,362747
9,48,women,367385
9,49,men,349286
9,49,women,353070
9,50,men,342161
9,50,women,345073
9,51,men,335844
9,51,women,338086
9,52,men,322556
9,52,women,326126
9,53,men,311594
9,53,women,315366
9,54,men,300373
9,54,women,305134
9,55,men,301262
9,55,women,307396
9,56,men,297971
9,56,women,303183
9,57,men,290345
9,57,women,297884
9,58,men,292627
9,58,women,300309
9,59,men,298088
9,59,women,309305
9,60,men,307498
9,60,women,317116
9,61,men,326472
9,61,women,337662
9,62,men,352980
9,62,women,364507
9,63,men,274907
9,63,women,285741
9,64,men,266942
9,64,women,278980
9,65,men,265339
9,65,women,277303
9,66,men,247456
9,66,women,261638
9,67,men,220658
9,67,women,235853
9,68,men,200037
9,68,women,215981
9,69,men,208612
9,69,women,226381
9,70,men,206725
9,70,women,226501
9,71,men,202034
9,71,women,221932
9,72,men,192460
9,72,women,214415
9,73,men,183094
9,73,women,207248
9,74,men,174089
9,74,women,200019
9,75,men,161349
9,75,women,189793
9,76,men,154034
9,76,women,185208
9,77,men,149667
9,77,women,184630
9,78,men,141964
9,78,women,181782
9,79,men,131385
9,79,women,174774
9,80,men,119528
9,80,women,163397
9,81,men,108085
9,81,women,152654
9,82,men,99490
9,82,women,144937
9,83,men,89972
9,83,women,137232
9,84,men,78992
9,84,women,127902
9,85,men,69330
9,85,women,119203
9,86,men,60365
9,86,women,110806
9,87,men,53855
9,87,women,103821
9,88,men,45268
9,88,women,97281
9,89,men,35692
9,89,women,79998
9,90,men,23097
9,90,women,51822
9,91,men,17458
9,91,women,42221
9,92,men,15088
9,92,women,38981
9,93,men,12109
9,93,women,33881
9,94,men,9339
9,94,women,27951
9,95,men,6579
9,95,women,21721
9,96,men,4419
9,96,women,16241
9,97,men,2760
9,97,women,11200
9,98,men,1800
9,98,women,7610
9,99,men,2330
9,99,women,13510
10,30,men,369527
10,30,women,370286
10,31,men,356341
10,31,women,354553
10,32,men,333732
10,32,women,331448
10,33,men,328812
10,33,women,326095
10,34,men,333327
10,34,women,334952
10,35,men,339819
10,35,women,341776
10,36,men,344707
10,36,women,348523
10,37,men,359839
10,37,women,363622
10,38,men,374930
10,38,women,379374
10,39,men,386317
10,39,women,392961
10,40,men,378002
10,40,women,383579
10,41,men,386497
10,41,women,393610
10,42,men,387008
10,42,women,392763
10,43,men,394150
10,43,women,397691
10,44,men,391021
10,44,women,400118
10,45,men,393076
10,45,women,401813
10,46,men,389530
10,46,women,397539
10,47,men,381859
10,47,women,389554
10,48,men,374181
10,48,women,380165
10,49,men,362705
10,49,women,366416
10,50,men,348136
10,50,women,352078
10,51,men,340787
10,51,women,344142
10,52,men,333964
10,52,women,336781
10,53,men,320870
10,53,women,325004
10,54,men,310052
10,54,women,314222
10,55,men,298912
10,55,women,304273
10,56,men,299576
10,56,women,306457
10,57,men,296601
10,57,women,302355
10,58,men,288248
10,58,women,296518
10,59,men,290692
10,59,women,299048
10,60,men,296159
10,60,women,307560
10,61,men,305183
10,61,women,315238
10,62,men,323356
10,62,women,335077
10,63,men,350973
10,63,women,362960
10,64,men,271922
10,64,women,283118
10,65,men,264112
10,65,women,276347
10,66,men,262959
10,66,women,275324
10,67,men,244286
10,67,women,259079
10,68,men,217563
10,68,women,233545
10,69,men,196266
10,69,women,213094
10,70,men,204610
10,70,women,223100
10,71,men,202420
10,71,women,223265
10,72,men,197390
10,72,women,218412
10,73,men,187365
10,73,women,210564
10,74,men,177620
10,74,women,203143
10,75,men,168613
10,75,women,195730
10,76,men,155507
10,76,women,185170
10,77,men,147593
10,77,women,179908
10,78,men,143097
10,78,women,178955
10,79,men,134743
10,79,women,175432
10,80,men,124054
10,80,women,167813
10,81,men,111833
10,81,women,155936
10,82,men,100321
10,82,women,145056
10,83,men,91606
10,83,women,136381
10,84,men,82072
10,84,women,128281
10,85,men,71178
10,85,women,118589
10,86,men,61786
10,86,women,109569
10,87,men,53094
10,87,women,100647
10,88,men,46695
10,88,women,93245
10,89,men,37994
10,89,women,85985
10,90,men,34933
10,90,women,77477
10,91,men,17762
10,91,women,42948
10,92,men,13091
10,92,women,34319
10,93,men,11071
10,93,women,30939
10,94,men,8621
10,94,women,26339
10,95,men,6491
10,95,women,21339
10,96,men,4420
10,96,women,16049
10,97,men,2930
10,97,women,11750
10,98,men,1730
10,98,women,7950
10,99,men,2460
10,99,women,13650
11,30,men,369450
11,30,women,372454
11,31,men,371850
11,31,women,373219
11,32,men,358647
11,32,women,357375
11,33,men,335139
11,33,women,332978
